MONTH,STATE,GENERATION
1,IL,16076960.0
1,IN,8955452.0
1,MI,10493567.0
1,OH,10970555.0
1,WI,5875401.0
2,IL,14948152.0
2,IN,9689686.0
2,MI,10149999.0
2,OH,10270242.0
2,WI,5605713.0
3,IL,13382767.0
3,IN,6942998.0
3,MI,9505374.0
3,OH,10088728.0
3,WI,5384497.0
4,IL,13213964.0
4,IN,6260580.0
4,MI,8005531.0
4,OH,8148725.0
4,WI,4873011.0
5,IL,14946614.0
5,IN,6954827.0
5,MI,7680196.0
5,OH,8505276.0
5,WI,5103979.0
6,IL,15858483.0
6,IN,8713096.0
6,MI,10027018.0
6,OH,10077657.0
6,WI,6154103.0
7,IL,16763648.0
7,IN,9542500.0
7,MI,10404736.0
7,OH,11850940.0
7,WI,6818142.0
8,IL,17421598.0
8,IN,10146852.0
8,MI,10995383.0
8,OH,12035354.0
8,WI,6853120.0
9,IL,14611663.0
9,IN,7625954.0
9,MI,9307215.0
9,OH,10372758.0
9,WI,5195281.0
10,IL,13568904.0
10,IN,6589878.0
10,MI,9744103.0
10,OH,10527011.0
10,WI,4561757.0
11,IL,14946239.0
11,IN,5871717.0
11,MI,9964658.0
11,OH,10180769.0
11,WI,4314388.0
12,IL,16120385.0
12,IN,7271621.0
12,MI,9767603.0
12,OH,10307598.0
12,WI,4739287.0
