STATE,STATE_CODE,GENERATION(MWH)
Alaska,AK,5943528.0
Alabama,AL,142955138.0
Arkansas,AR,60230136.0
Arizona,AZ,108608533.0
California,CA,196727105.0
Colorado,CO,56737718.0
Connecticut,CT,44123571.0
District of Columbia,DC,218238.0
Delaware,DE,4039971.0
Florida,FL,244401034.0
Georgia,GA,126530744.0
Hawaii,HI,9188093.0
Iowa,IA,66120267.0
Idaho,ID,16948588.0
Illinois,IL,181859368.0
Indiana,IN,94565164.0
Kansas,KS,56745953.0
Kentucky,KY,70554263.0
Louisiana,LA,98061963.0
Massachusetts,MA,19366997.0
Maryland,MD,39719295.0
Maine,ME,10952775.0
Michigan,MI,116045383.0
Minnesota,MN,59628021.0
Missouri,MO,77815979.0
Mississippi,MS,68713326.0
Montana,MT,24466639.0
North Carolina,NC,131262683.0
North Dakota,ND,42705233.0
Nebraska,NE,38644645.0
New Hampshire,NH,17434992.0
New Jersey,NJ,61386525.0
New Mexico,NM,35271295.0
Nevada,NV,41880183.0
New York,NY,125226023.0
Ohio,OH,123335607.0
Oklahoma,OK,80564126.0
Oregon,OR,61081837.0
Pennsylvania,PA,241648360.0
Rhode Island,RI,8035014.0
South Carolina,SC,99924403.0
South Dakota,SD,17834631.0
Tennessee,TN,81478885.0
Texas,TX,483561772.0
Utah,UT,42656778.0
Virginia,VA,94309018.0
Vermont,VT,2147736.0
Washington,WA,109122717.0
Wisconsin,WI,65478673.0
West Virginia,WV,65630557.0
Wyoming,WY,43650670.0
